"entity_id","domain","state","friendly_name","device_class","unit_of_measurement"
"conversation.home_assistant","conversation","2026-01-08T15:51:20.294370+00:00","Home Assistant","",""
"event.backup_automatic_backup","event","2026-02-05T10:26:19.412+00:00","Backup Automatic backup","",""
"sensor.backup_backup_manager_state","sensor","idle","Backup Backup Manager state","enum",""
"sensor.backup_next_scheduled_automatic_backup","sensor","2026-02-06T10:43:54+00:00","Backup Next scheduled automatic backup","timestamp",""
"sensor.backup_last_successful_automatic_backup","sensor","2026-02-05T10:26:19+00:00","Backup Last successful automatic backup","timestamp",""
"sensor.backup_last_attempted_automatic_backup","sensor","2026-02-05T10:24:44+00:00","Backup Last attempted automatic backup","timestamp",""
"binary_sensor.remote_ui","binary_sensor","on","Remote UI","connectivity",""
"stt.home_assistant_cloud","stt","unknown","Home Assistant Cloud","",""
"tts.home_assistant_cloud","tts","2026-01-08T19:42:31.345082+00:00","Home Assistant Cloud","",""
"script.toggle_main_lights","script","off","Toggle All Main Lights","",""
"script.spotify_transfer_kitchen","script","off","Spotify to Kitchen Dot","",""
"script.spotify_transfer_family","script","off","Spotify to Family Dot","",""
"script.spotify_transfer_show8","script","off","Spotify to Show 8","",""
"script.spotify_transfer_greatroom","script","off","Spotify to Great Room","",""
"input_select.featured_camera","input_select","pan_cam","Featured Camera","",""
"input_boolean.hvac_auto_comfort","input_boolean","on","HVAC Auto Comfort","",""
"input_boolean.main_lights_master","input_boolean","off","Main Lights Master","",""
"input_boolean.hp_presence","input_boolean","off","HP Presence","",""
"input_boolean.media_photos_visible","input_boolean","on","Media Photos Visible","",""
"zone.home","zone","1","Home","",""
"input_boolean.front_porch_virtual_toggle","input_boolean","on","Front porch virtual toggle","",""
"zone.loblolly","zone","3","Loblolly","",""
"zone.eagles_basketball_gym","zone","0","Basketball SC ","",""
"zone.fort_gordon","zone","0","Fort Gordon","",""
"zone.h","zone","1","Home","",""
"zone.loblolly_2","zone","0","Loblolly ","",""
"person.admin","person","home","ADMIN","",""
"person.tuella_sowu","person","Loblolly","Tuella","",""
"person.kitchen_tab","person","unknown","Kitchen Tab","",""
"person.paul","person","Loblolly","Paul","",""
"person.mauriece","person","Loblolly","Mauriece","",""
"camera.wyze_cam","camera","idle","Wyze Cam","",""
"camera.pan_cam","camera","idle","Pan Cam","",""
"camera.redbase","camera","unavailable","Redbase","",""
"camera.loblolly","camera","idle","Loblolly","",""
"sun.sun","sun","below_horizon","Sun","",""
"binary_sensor.sun_solar_rising","binary_sensor","on","Sun Solar rising","",""
"sensor.sun_next_dawn","sensor","2026-02-06T11:54:24+00:00","Sun Next dawn","timestamp",""
"sensor.sun_next_dusk","sensor","2026-02-06T23:31:04+00:00","Sun Next dusk","timestamp",""
"sensor.sun_next_midnight","sensor","2026-02-07T05:42:35+00:00","Sun Next midnight","timestamp",""
"sensor.sun_next_noon","sensor","2026-02-06T17:42:29+00:00","Sun Next noon","timestamp",""
"sensor.sun_next_rising","sensor","2026-02-06T12:20:40+00:00","Sun Next rising","timestamp",""
"sensor.sun_next_setting","sensor","2026-02-06T23:04:47+00:00","Sun Next setting","timestamp",""
"sensor.sun_solar_elevation","sensor","-53.77","Sun Solar elevation","","°"
"sensor.sun_solar_azimuth","sensor","69.23","Sun Solar azimuth","","°"
"sensor.average_home_temperature","sensor","70.7","Average Home Temperature","temperature","°F"
"sensor.kitchen_range_status","sensor","Off","Kitchen Range Status","",""
"sensor.kitchentab_browser_id","sensor","Kitchentab","Kitchentab Browser ID","",""
"sensor.kitchentab_browser_path","sensor","/command-center/lights","Kitchentab Browser path","",""
"sensor.kitchentab_browser_visibility","sensor","hidden","Kitchentab Browser visibility","",""
"sensor.kitchentab_browser_useragent","sensor","Mozilla/5.0 (Linux; Android 15; P13PRO Build/AP3A.241105.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/144.0.7559.109 Safari/537.36","Kitchentab Browser userAgent","",""
"sensor.kitchentab_browser_user","sensor","ADMIN","Kitchentab Browser user","",""
"binary_sensor.kitchentab_browser_fullykiosk","binary_sensor","off","Kitchentab Browser FullyKiosk","",""
"sensor.kitchentab_browser_width","sensor","1280","Kitchentab Browser width","","px"
"sensor.kitchentab_browser_height","sensor","799","Kitchentab Browser height","","px"
"binary_sensor.kitchentab_browser_dark_mode","binary_sensor","on","Kitchentab Browser dark mode","",""
"binary_sensor.kitchentab","binary_sensor","off","Kitchentab","motion",""
"light.kitchentab_screen","light","unknown","Kitchentab Screen","",""
"media_player.kitchentab","media_player","unknown","Kitchentab","",""
"sensor.kitchentab_panel","sensor","Command Center - Lights","Kitchentab Panel","",""
"camera.kitchentab","camera","idle","Kitchentab","",""
"sensor.hp_browser_id","sensor","unavailable","HP Browser ID","",""
"sensor.hp_browser_path","sensor","unavailable","HP Browser path","",""
"sensor.hp_browser_visibility","sensor","unavailable","HP Browser visibility","",""
"sensor.hp_browser_useragent","sensor","unavailable","HP Browser userAgent","",""
"sensor.hp_browser_user","sensor","unavailable","HP Browser user","",""
"binary_sensor.hp_browser_fullykiosk","binary_sensor","unavailable","HP Browser FullyKiosk","",""
"sensor.hp_browser_width","sensor","unavailable","HP Browser width","","px"
"sensor.hp_browser_height","sensor","unavailable","HP Browser height","","px"
"binary_sensor.hp_browser_dark_mode","binary_sensor","unavailable","HP Browser dark mode","",""
"binary_sensor.hp","binary_sensor","unavailable","HP","motion",""
"light.hp_screen","light","unavailable","HP Screen","",""
"media_player.hp","media_player","unavailable","HP","",""
"sensor.hp_panel","sensor","unavailable","HP Panel","",""
"camera.hp","camera","unavailable","HP","",""
"sensor.hp_browser_battery","sensor","unavailable","HP Browser battery","battery","%"
"binary_sensor.hp_browser_charging","binary_sensor","unavailable","HP Browser charging","",""
"camera.10_0_0_60","camera","idle","front Porch ring mqtt","",""
"camera.10_0_0_60_2","camera","unavailable","10_0_0_60","",""
"camera.front_porch_live_view","camera","idle","front porch live view","",""
"camera.front_door_live_view","camera","idle","Loblolly front door","",""
"camera.living_room_live_view","camera","idle","living room Live view","",""
"camera.great_room_live_view","camera","idle","great room ringcsm Live view","",""
"camera.front_door_last_recording_2","camera","idle","Front Door Last recording","",""
"camera.front_door_last_recording","camera","idle","Front Door Last recording","",""
"event.front_door_ding_2","event","2026-02-03T17:13:06.079+00:00","Front Door Ding","doorbell",""
"event.front_door_ding","event","2025-12-16T16:38:31.920+00:00","Front Door Ding","doorbell",""
"event.living_room_ding","event","unknown","living room Ding","doorbell",""
"event.great_room_motion","event","2025-12-05T03:25:24.925+00:00","great room ringcsm Motion","motion",""
"event.front_door_motion_2","event","2026-02-04T18:21:24.206+00:00","Front Door Motion","motion",""
"event.front_door_motion","event","2026-02-06T03:40:52.222+00:00","Front Door Motion","motion",""
"event.living_room_motion","event","unknown","living room Motion","motion",""
"number.great_room_volume","number","5.0","great room ringcsm Volume","",""
"number.front_door_volume_2","number","4.0","Front Door Volume","",""
"number.front_door_volume","number","8.0","Front Door Volume","",""
"number.living_room_volume","number","5.0","living room Volume","",""
"sensor.great_room_battery","sensor","unknown","great room ringcsm Battery","battery","%"
"sensor.front_door_battery_3","sensor","unknown","Front Door Battery","battery","%"
"sensor.front_door_battery","sensor","72","Front Door Battery","battery","%"
"sensor.living_room_battery","sensor","unknown","living room Battery","battery","%"
"sensor.great_room_last_activity","sensor","2026-02-06T07:57:24+00:00","great room ringcsm Last activity","timestamp",""
"sensor.front_door_last_activity_2","sensor","2026-02-04T18:21:15+00:00","Front Door Last activity","timestamp",""
"sensor.front_door_last_activity","sensor","2026-02-06T03:40:51+00:00","Front Door Last activity","timestamp",""
"sensor.living_room_last_activity","sensor","2026-01-02T17:38:15+00:00","living room Last activity","timestamp",""
"sensor.front_door_wi_fi_signal_category_2","sensor","good","Front Door Wi-Fi signal category","",""
"sensor.front_door_signal_strength_2","sensor","-43.0","Front Door Signal strength","signal_strength","dBm"
"siren.great_room_siren","siren","off","great room ringcsm Siren","",""
"sensor.paul_travel_time","sensor","2.31861111111111","Paul Travel Time","duration","h"
"sensor.tuella_travel_time","sensor","139.1","Tuella Travel Time","duration","min"
"sensor.mauriece_travel_time","sensor","139.033333333333","Mauriece Travel Time","duration","min"
"binary_sensor.kitchen_main_mic_muted","binary_sensor","off","Kitchen Main Mic muted","",""
"binary_sensor.kitchen_main_music_active","binary_sensor","off","Kitchen Main Music active","",""
"device_tracker.kitchen_main","device_tracker","unknown","Kitchen Main","",""
"sensor.kitchen_main_audio_mode","sensor","unknown","Kitchen Main Audio mode","enum",""
"sensor.kitchen_main_volume_level_music","sensor","unknown","Kitchen Main Volume level music","",""
"sensor.kitchen_main_battery_level","sensor","61","Kitchen Main Battery level","battery","%"
"sensor.kitchen_main_battery_state","sensor","discharging","Kitchen Main Battery state","enum",""
"sensor.kitchen_main_charger_type","sensor","none","Kitchen Main Charger type","enum",""
"sensor.kitchen_main_bluetooth_connection","sensor","unknown","Kitchen Main Bluetooth connection","","connection(s)"
"sensor.kitchen_main_ble_transmitter","sensor","unknown","Kitchen Main BLE transmitter","enum",""
"sensor.kitchen_main_beacon_monitor","sensor","Bluetooth is turned off","Kitchen Main Beacon monitor","enum",""
"sensor.kitchen_main_internal_storage","sensor","unknown","Kitchen Main Internal storage","","%"
"sensor.kitchen_main_external_storage","sensor","unknown","Kitchen Main External storage","","%"
"binary_sensor.pauls_ipad_focus","binary_sensor","off","Paul’s iPad Focus","",""
"device_tracker.pauls_ipad","device_tracker","Home","Paul’s iPad","",""
"sensor.pauls_ipad_battery_level","sensor","75","Paul’s iPad Battery Level","battery","%"
"sensor.pauls_ipad_geocoded_location","sensor","2739 Davis Mill Rd
Augusta GA 30815
United States","Paul’s iPad Geocoded Location","",""
"sensor.pauls_ipad_battery_state","sensor","Charging","Paul’s iPad Battery State","",""
"sensor.pauls_ipad_bssid","sensor","72:13:1:e8:1a:22","Paul’s iPad BSSID","",""
"sensor.pauls_ipad_storage","sensor","25.87","Paul’s iPad Storage","","% available"
"sensor.pauls_ipad_ssid","sensor","sowu","Paul’s iPad SSID","",""
"sensor.pauls_ipad_connection_type","sensor","Wi-Fi","Paul’s iPad Connection Type","",""
"sensor.pauls_ipad_app_version","sensor","2025.12.1","Paul’s iPad App Version","",""
"sensor.pauls_ipad_last_update_trigger","sensor","Background Fetch","Paul’s iPad Last Update Trigger","",""
"sensor.pauls_ipad_location_permission","sensor","Authorized Always","Paul’s iPad Location permission","",""
"sensor.pauls_ipad_audio_output","sensor","Built-in Speaker","Paul’s iPad Audio Output","",""
"sensor.pauls_ipad_activity","sensor","Stationary","Paul’s iPad Activity","",""
"device_tracker.great_room_tv","device_tracker","unknown","Great Room TV","",""
"device_tracker.mb_fire_tv","device_tracker","unknown","mb fire tv","",""
"binary_sensor.tuellas_samsung_android_auto","binary_sensor","off","Tuellas Samsung Android Auto","connectivity",""
"device_tracker.ts","device_tracker","Loblolly","Tuellas Samsung","",""
"sensor.tuellas_samsung_battery_level","sensor","37","Tuellas Samsung Battery level","battery","%"
"sensor.tuellas_samsung_battery_state","sensor","discharging","Tuellas Samsung Battery state","enum",""
"sensor.tuellas_samsung_charger_type","sensor","none","Tuellas Samsung Charger type","enum",""
"sensor.tuellas_samsung_car_speed","sensor","unavailable","Tuellas Samsung Car speed","speed","mph"
"sensor.tuellas_samsung_geocoded_location","sensor","3896 Loblolly Dr, Clarkston, GA 30021, USA","Tuellas Samsung Geocoded location","",""
"sensor.tuellas_samsung_pressure_sensor","sensor","28.8744176717277","Tuellas Samsung Pressure sensor","atmospheric_pressure","inHg"
"sensor.tuellas_samsung_proximity_sensor","sensor","far","Tuellas Samsung Proximity sensor","",""
"binary_sensor.sm_s928u1_android_auto","binary_sensor","off","SM-S928U1 Android Auto","connectivity",""
"binary_sensor.sm_s928u1_app_inactive","binary_sensor","off","SM-S928U1 App inactive","",""
"binary_sensor.sm_s928u1_mic_muted","binary_sensor","off","SM-S928U1 Mic muted","",""
"binary_sensor.sm_s928u1_is_charging","binary_sensor","off","SM-S928U1 Is charging","plug",""
"binary_sensor.sm_s928u1_bluetooth_state","binary_sensor","on","SM-S928U1 Bluetooth state","",""
