"entity_id","domain","state","friendly_name","device_class","unit_of_measurement"
"conversation.home_assistant","conversation","2025-10-14T23:39:10.705323+00:00","Home Assistant","",""
"event.backup_automatic_backup","event","2025-11-15T10:06:16.884+00:00","Backup Automatic backup","",""
"sensor.backup_backup_manager_state","sensor","idle","Backup Backup Manager state","enum",""
"sensor.backup_next_scheduled_automatic_backup","sensor","2025-11-16T09:56:36+00:00","Backup Next scheduled automatic backup","timestamp",""
"sensor.backup_last_successful_automatic_backup","sensor","2025-11-15T10:06:16+00:00","Backup Last successful automatic backup","timestamp",""
"sensor.backup_last_attempted_automatic_backup","sensor","2025-11-15T10:05:51+00:00","Backup Last attempted automatic backup","timestamp",""
"binary_sensor.remote_ui","binary_sensor","on","Remote UI","connectivity",""
"stt.home_assistant_cloud","stt","unknown","Home Assistant Cloud","",""
"tts.home_assistant_cloud","tts","2025-10-07T21:26:28.420110+00:00","Home Assistant Cloud","",""
"zone.home","zone","2","Case De Sowu","",""
"input_boolean.hvac_auto_comfort","input_boolean","off","HVAC Auto Comfort","",""
"person.paul_sowu","person","home","Paul Sowu","",""
"person.tuella_sowu","person","unknown","Tuella Sowu","",""
"person.kitchen_tab","person","home","Kitchen Tab","",""
"input_boolean.front_porch_virtual_toggle","input_boolean","on","Front porch virtual toggle","",""
"sun.sun","sun","below_horizon","Sun","",""
"sensor.sun_next_dawn","sensor","2025-11-16T11:34:12+00:00","Sun Next dawn","timestamp",""
"sensor.sun_next_dusk","sensor","2025-11-16T22:52:01+00:00","Sun Next dusk","timestamp",""
"sensor.sun_next_midnight","sensor","2025-11-17T05:13:28+00:00","Sun Next midnight","timestamp",""
"sensor.sun_next_noon","sensor","2025-11-16T17:13:08+00:00","Sun Next noon","timestamp",""
"sensor.sun_next_rising","sensor","2025-11-16T12:01:08+00:00","Sun Next rising","timestamp",""
"sensor.sun_next_setting","sensor","2025-11-16T22:25:05+00:00","Sun Next setting","timestamp",""
"sensor.average_home_temperature","sensor","75.1","Average Home Temperature","temperature","°F"
"todo.shopping_list","todo","0","Shopping List","",""
"device_tracker.dad_s_phone","device_tracker","home","DaD","",""
"sensor.dad_battery_level","sensor","18","DaD Battery level","battery","%"
"sensor.dad_battery_state","sensor","discharging","DaD Battery state","enum",""
"sensor.dad_charger_type","sensor","none","DaD Charger type","enum",""
"device_tracker.ts","device_tracker","unknown","TS","",""
"sensor.ts_battery_level","sensor","55","TS Battery level","battery","%"
"sensor.ts_battery_state","sensor","charging","TS Battery state","enum",""
"sensor.ts_charger_type","sensor","ac","TS Charger type","enum",""
"binary_sensor.kitchen_main_mic_muted","binary_sensor","off","Kitchen Main Mic muted","",""
"binary_sensor.kitchen_main_music_active","binary_sensor","off","Kitchen Main Music active","",""
"device_tracker.kitchen_main","device_tracker","unknown","Kitchen Main","",""
"sensor.kitchen_main_audio_mode","sensor","unknown","Kitchen Main Audio mode","enum",""
"sensor.kitchen_main_volume_level_music","sensor","unknown","Kitchen Main Volume level music","",""
"sensor.kitchen_main_battery_level","sensor","61","Kitchen Main Battery level","battery","%"
"sensor.kitchen_main_battery_state","sensor","discharging","Kitchen Main Battery state","enum",""
"sensor.kitchen_main_charger_type","sensor","none","Kitchen Main Charger type","enum",""
"sensor.kitchen_main_bluetooth_connection","sensor","unknown","Kitchen Main Bluetooth connection","","connection(s)"
"sensor.kitchen_main_ble_transmitter","sensor","unknown","Kitchen Main BLE transmitter","enum",""
"sensor.kitchen_main_beacon_monitor","sensor","Bluetooth is turned off","Kitchen Main Beacon monitor","enum",""
"sensor.kitchen_main_internal_storage","sensor","unknown","Kitchen Main Internal storage","","%"
"sensor.kitchen_main_external_storage","sensor","unknown","Kitchen Main External storage","","%"
"binary_sensor.pauls_ipad_focus","binary_sensor","off","Paul’s iPad Focus","",""
"device_tracker.pauls_ipad","device_tracker","home","Paul’s iPad","",""
"sensor.pauls_ipad_battery_level","sensor","70","Paul’s iPad Battery Level","battery","%"
"sensor.pauls_ipad_geocoded_location","sensor","2741 Davis Mill Rd
Augusta GA 30815
United States","Paul’s iPad Geocoded Location","",""
"sensor.pauls_ipad_battery_state","sensor","Charging","Paul’s iPad Battery State","",""
"sensor.pauls_ipad_bssid","sensor","72:13:1:e8:1a:22","Paul’s iPad BSSID","",""
"sensor.pauls_ipad_storage","sensor","29.35","Paul’s iPad Storage","","% available"
"sensor.pauls_ipad_ssid","sensor","sowu","Paul’s iPad SSID","",""
"sensor.pauls_ipad_connection_type","sensor","Wi-Fi","Paul’s iPad Connection Type","",""
"sensor.pauls_ipad_app_version","sensor","2025.10.0","Paul’s iPad App Version","",""
"sensor.pauls_ipad_last_update_trigger","sensor","Periodic","Paul’s iPad Last Update Trigger","",""
"sensor.pauls_ipad_location_permission","sensor","Authorized Always","Paul’s iPad Location permission","",""
"sensor.pauls_ipad_audio_output","sensor","Built-in Speaker","Paul’s iPad Audio Output","",""
"sensor.pauls_ipad_activity","sensor","Stationary","Paul’s iPad Activity","",""
"device_tracker.great_room_tv","device_tracker","unknown","Great Room TV","",""
"device_tracker.mb_fire_tv","device_tracker","unknown","mb fire tv","",""
"media_player.living_room_tv_3","media_player","idle","Living Room TV","",""
"automation.adjust_thermostat_based_on_average_temperature","automation","off","Adjust Thermostat Based on Average Temperature","",""
"automation.maintain_comfort_band_74_76degf","automation","off","Maintain Comfort Band 74-76°F","",""
"ai_task.google_ai_task","ai_task","unknown","Google AI Task","",""
"conversation.google_ai_conversation","conversation","2025-10-07T21:26:23.756663+00:00","Google AI Conversation","",""
"stt.google_ai_stt_2","stt","unknown","Google AI STT","",""
"tts.google_ai_tts","tts","2025-10-07T20:55:29.553896+00:00","Google AI TTS","",""
"media_player.living_room_tv_2","media_player","off","Living Room TV","tv",""
"remote.living_room_tv","remote","off","Living Room TV","",""
"update.firemote_card_update","update","off","Firemote Card update","",""
"update.hubspace_homeassistant_update","update","off","Hubspace-Homeassistant update","",""
"update.alexa_media_player_update","update","on","Alexa Media Player update","",""
"update.atomic_calendar_revive_update","update","off","Atomic Calendar Revive update","",""
"update.hacs_update","update","off","HACS update","",""
"update.card_mod_update","update","off","card-mod update","",""
"update.ai_automation_suggester_update","update","off","AI Automation Suggester update","",""
"update.layout_card_update","update","off","layout-card update","",""
"update.ttlock_update","update","off","TTLock update","",""
"tts.google_translate_en_com","tts","2025-10-07T20:57:12.358405+00:00","Google Translate en com","",""
"weather.forecast_home","weather","clear-night","Forecast Case De Sowu","",""
"camera.front_door_live_view","camera","idle","Loblolly front door","",""
"camera.living_room_live_view","camera","idle","living room Live view","",""
"camera.great_room_live_view","camera","idle","great room ringcsm Live view","",""
"event.front_door_ding","event","2025-11-15T01:46:21.436+00:00","Front Door Ding","doorbell",""
"event.living_room_ding","event","unknown","living room Ding","doorbell",""
"event.great_room_motion","event","2025-11-09T01:21:40.635+00:00","great room ringcsm Motion","motion",""
"event.front_door_motion","event","2025-11-16T04:50:01.785+00:00","Front Door Motion","motion",""
"event.living_room_motion","event","unknown","living room Motion","motion",""
"number.great_room_volume","number","8.0","great room ringcsm Volume","",""
"number.front_door_volume","number","0.0","Front Door Volume","",""
"number.living_room_volume","number","5.0","living room Volume","",""
