"entity_id","domain","state","friendly_name","device_class","unit_of_measurement"
"conversation.home_assistant","conversation","2025-11-23T04:29:39.791233+00:00","Home Assistant","",""
"event.backup_automatic_backup","event","2025-11-24T10:01:47.838+00:00","Backup Automatic backup","",""
"sensor.backup_backup_manager_state","sensor","idle","Backup Backup Manager state","enum",""
"sensor.backup_next_scheduled_automatic_backup","sensor","2025-11-25T09:54:51+00:00","Backup Next scheduled automatic backup","timestamp",""
"sensor.backup_last_successful_automatic_backup","sensor","2025-11-24T10:01:47+00:00","Backup Last successful automatic backup","timestamp",""
"sensor.backup_last_attempted_automatic_backup","sensor","2025-11-24T10:01:20+00:00","Backup Last attempted automatic backup","timestamp",""
"binary_sensor.remote_ui","binary_sensor","on","Remote UI","connectivity",""
"stt.home_assistant_cloud","stt","unknown","Home Assistant Cloud","",""
"tts.home_assistant_cloud","tts","2025-11-24T18:41:02.527589+00:00","Home Assistant Cloud","",""
"zone.home","zone","3","Case De Sowu","",""
"input_boolean.hvac_auto_comfort","input_boolean","on","HVAC Auto Comfort","",""
"input_boolean.front_porch_virtual_toggle","input_boolean","on","Front porch virtual toggle","",""
"person.paul_sowu","person","home","Paul Sowu","",""
"person.tuella_sowu","person","home","Tuella Sowu","",""
"person.kitchen_tab","person","home","Kitchen Tab","",""
"sensor.average_home_temperature","sensor","71.9","Average Home Temperature","temperature","°F"
"sun.sun","sun","below_horizon","Sun","",""
"sensor.sun_next_dawn","sensor","2025-11-25T11:42:01+00:00","Sun Next dawn","timestamp",""
"sensor.sun_next_dusk","sensor","2025-11-25T22:48:51+00:00","Sun Next dusk","timestamp",""
"sensor.sun_next_midnight","sensor","2025-11-26T05:15:53+00:00","Sun Next midnight","timestamp",""
"sensor.sun_next_noon","sensor","2025-11-25T17:15:20+00:00","Sun Next noon","timestamp",""
"sensor.sun_next_rising","sensor","2025-11-25T12:09:24+00:00","Sun Next rising","timestamp",""
"sensor.sun_next_setting","sensor","2025-11-25T22:21:28+00:00","Sun Next setting","timestamp",""
"todo.shopping_list","todo","0","Shopping List","",""
"media_player.living_room_tv","media_player","off","Great Room TV","",""
"tts.google_translate_en_com","tts","2025-11-23T01:36:35.240957+00:00","Google Translate en com","",""
"media_player.living_room_tv_2","media_player","on","Living Room TV","tv",""
"remote.living_room_tv","remote","on","Living Room TV","",""
"binary_sensor.kitchen_main_mic_muted","binary_sensor","off","Kitchen Main Mic muted","",""
"binary_sensor.kitchen_main_music_active","binary_sensor","off","Kitchen Main Music active","",""
"device_tracker.kitchen_main","device_tracker","unknown","Kitchen Main","",""
"sensor.kitchen_main_audio_mode","sensor","unknown","Kitchen Main Audio mode","enum",""
"sensor.kitchen_main_volume_level_music","sensor","unknown","Kitchen Main Volume level music","",""
