"entity_id","domain","state","friendly_name","device_class","unit_of_measurement"
"conversation.home_assistant","conversation","2025-11-23T04:29:39.791233+00:00","Home Assistant","",""
"event.backup_automatic_backup","event","2025-12-01T10:55:06.942+00:00","Backup Automatic backup","",""
"sensor.backup_backup_manager_state","sensor","idle","Backup Backup Manager state","enum",""
"sensor.backup_next_scheduled_automatic_backup","sensor","2025-12-02T10:09:24+00:00","Backup Next scheduled automatic backup","timestamp",""
"sensor.backup_last_successful_automatic_backup","sensor","2025-11-30T10:54:13+00:00","Backup Last successful automatic backup","timestamp",""
"sensor.backup_last_attempted_automatic_backup","sensor","2025-12-01T10:32:01+00:00","Backup Last attempted automatic backup","timestamp",""
"binary_sensor.remote_ui","binary_sensor","on","Remote UI","connectivity",""
"stt.home_assistant_cloud","stt","unknown","Home Assistant Cloud","",""
"tts.home_assistant_cloud","tts","2025-11-24T18:41:02.527589+00:00","Home Assistant Cloud","",""
"script.toggle_main_lights","script","off","Toggle All Main Lights","",""
"zone.loblolly","zone","0","Loblolly","",""
"input_boolean.hvac_auto_comfort","input_boolean","on","HVAC Auto Comfort","",""
"input_boolean.main_lights_master","input_boolean","on","Main Lights Master","",""
"zone.home","zone","2","Case De Sowu","",""
"input_boolean.front_porch_virtual_toggle","input_boolean","on","Front porch virtual toggle","",""
"person.paul_sowu","person","home","Paul Sowu","",""
"person.tuella_sowu","person","home","Tuella Sowu","",""
"person.kitchen_tab","person","unknown","Kitchen Tab","",""
"sun.sun","sun","below_horizon","Sun","",""
"sensor.sun_next_dawn","sensor","2025-12-02T11:47:51+00:00","Sun Next dawn","timestamp",""
"sensor.sun_next_dusk","sensor","2025-12-02T22:48:02+00:00","Sun Next dusk","timestamp",""
"sensor.sun_next_midnight","sensor","2025-12-03T05:18:26+00:00","Sun Next midnight","timestamp",""
"sensor.sun_next_noon","sensor","2025-12-02T17:17:45+00:00","Sun Next noon","timestamp",""
"sensor.sun_next_rising","sensor","2025-12-02T12:15:32+00:00","Sun Next rising","timestamp",""
"sensor.sun_next_setting","sensor","2025-12-02T22:20:21+00:00","Sun Next setting","timestamp",""
"sensor.average_home_temperature","sensor","71.8","Average Home Temperature","temperature","°F"
"sensor.kitchen_range_status","sensor","Off","Kitchen Range Status","",""
"sensor.browser_mod_bdb5010e_bd8f3920_browser_id","sensor","browser_mod_bdb5010e_bd8f3920","browser_mod_bdb5010e_bd8f3920 Browser ID","",""
"sensor.browser_mod_bdb5010e_bd8f3920_browser_path","sensor","/hp-control-center/home","browser_mod_bdb5010e_bd8f3920 Browser path","",""
"sensor.browser_mod_bdb5010e_bd8f3920_browser_visibility","sensor","visible","browser_mod_bdb5010e_bd8f3920 Browser visibility","",""
"sensor.browser_mod_bdb5010e_bd8f3920_browser_useragent","sensor","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","browser_mod_bdb5010e_bd8f3920 Browser userAgent","",""
"sensor.browser_mod_bdb5010e_bd8f3920_browser_user","sensor","Paul Sowu","browser_mod_bdb5010e_bd8f3920 Browser user","",""
"binary_sensor.browser_mod_bdb5010e_bd8f3920_browser_fullykiosk","binary_sensor","off","browser_mod_bdb5010e_bd8f3920 Browser FullyKiosk","",""
"sensor.browser_mod_bdb5010e_bd8f3920_browser_width","sensor","772","browser_mod_bdb5010e_bd8f3920 Browser width","","px"
