"entity_id","domain","state","friendly_name","device_class","unit_of_measurement"
"conversation.home_assistant","conversation","2025-11-23T04:29:39.791233+00:00","Home Assistant","",""
"event.backup_automatic_backup","event","2025-11-25T09:55:16.579+00:00","Backup Automatic backup","",""
"sensor.backup_backup_manager_state","sensor","idle","Backup Backup Manager state","enum",""
"sensor.backup_next_scheduled_automatic_backup","sensor","2025-11-26T10:31:40+00:00","Backup Next scheduled automatic backup","timestamp",""
"sensor.backup_last_successful_automatic_backup","sensor","2025-11-25T09:55:16+00:00","Backup Last successful automatic backup","timestamp",""
"sensor.backup_last_attempted_automatic_backup","sensor","2025-11-25T09:54:51+00:00","Backup Last attempted automatic backup","timestamp",""
"binary_sensor.remote_ui","binary_sensor","on","Remote UI","connectivity",""
"stt.home_assistant_cloud","stt","unknown","Home Assistant Cloud","",""
"tts.home_assistant_cloud","tts","2025-11-24T18:41:02.527589+00:00","Home Assistant Cloud","",""
"input_boolean.hvac_auto_comfort","input_boolean","on","HVAC Auto Comfort","",""
"input_boolean.main_lights_master","input_boolean","on","Main Lights Master","",""
"zone.loblolly","zone","2","Loblolly","",""
"zone.home","zone","1","Case De Sowu","",""
"input_boolean.front_porch_virtual_toggle","input_boolean","on","Front porch virtual toggle","",""
"person.paul_sowu","person","Loblolly","Paul Sowu","",""
"person.tuella_sowu","person","Loblolly","Tuella Sowu","",""
"person.kitchen_tab","person","home","Kitchen Tab","",""
"sensor.average_home_temperature","sensor","71.9","Average Home Temperature","temperature","°F"
"sensor.kitchen_range_status","sensor","Off","Kitchen Range Status","",""
"sensor.browser_mod_bdb5010e_bd8f3920_browser_id","sensor","browser_mod_bdb5010e_bd8f3920","browser_mod_bdb5010e_bd8f3920 Browser ID","",""
"sensor.browser_mod_bdb5010e_bd8f3920_browser_path","sensor","/kitchen-tablet/kitchen_tablet","browser_mod_bdb5010e_bd8f3920 Browser path","",""
"sensor.browser_mod_bdb5010e_bd8f3920_browser_visibility","sensor","visible","browser_mod_bdb5010e_bd8f3920 Browser visibility","",""
"sensor.browser_mod_bdb5010e_bd8f3920_browser_useragent","sensor","Mozilla/5.0 (iPad; CPU OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Home Assistant/2025.10.0 (io.robbie.HomeAssistant; build:2025.1443; iPadOS 18.7.2) Mobile/HomeAssistant, like Safari","browser_mod_bdb5010e_bd8f3920 Browser userAgent","",""
"sensor.browser_mod_bdb5010e_bd8f3920_browser_user","sensor","Kitchen Tab","browser_mod_bdb5010e_bd8f3920 Browser user","",""
"binary_sensor.browser_mod_bdb5010e_bd8f3920_browser_fullykiosk","binary_sensor","off","browser_mod_bdb5010e_bd8f3920 Browser FullyKiosk","",""
"sensor.browser_mod_bdb5010e_bd8f3920_browser_width","sensor","1080","browser_mod_bdb5010e_bd8f3920 Browser width","","px"
"sensor.browser_mod_bdb5010e_bd8f3920_browser_height","sensor","810","browser_mod_bdb5010e_bd8f3920 Browser height","","px"
"binary_sensor.browser_mod_bdb5010e_bd8f3920_browser_dark_mode","binary_sensor","off","browser_mod_bdb5010e_bd8f3920 Browser dark mode","",""
"binary_sensor.browser_mod_bdb5010e_bd8f3920","binary_sensor","off","browser_mod_bdb5010e_bd8f3920","motion",""
"light.browser_mod_bdb5010e_bd8f3920_screen","light","on","browser_mod_bdb5010e_bd8f3920 Screen","",""
"media_player.browser_mod_bdb5010e_bd8f3920","media_player","off","browser_mod_bdb5010e_bd8f3920","",""
"sensor.browser_mod_bdb5010e_bd8f3920_panel","sensor","Kitchen Tablet - Control Center","browser_mod_bdb5010e_bd8f3920 Panel","",""
"sun.sun","sun","below_horizon","Sun","",""
"sensor.sun_next_dawn","sensor","2025-11-26T11:42:52+00:00","Sun Next dawn","timestamp",""
"sensor.sun_next_dusk","sensor","2025-11-26T22:48:39+00:00","Sun Next dusk","timestamp",""
"sensor.sun_next_midnight","sensor","2025-11-27T05:16:13+00:00","Sun Next midnight","timestamp",""
"sensor.sun_next_noon","sensor","2025-11-26T17:15:39+00:00","Sun Next noon","timestamp",""
"sensor.sun_next_rising","sensor","2025-11-26T12:10:18+00:00","Sun Next rising","timestamp",""
"sensor.sun_next_setting","sensor","2025-11-26T22:21:13+00:00","Sun Next setting","timestamp",""
"binary_sensor.kitchen_main_mic_muted","binary_sensor","off","Kitchen Main Mic muted","",""
"binary_sensor.kitchen_main_music_active","binary_sensor","off","Kitchen Main Music active","",""
"device_tracker.kitchen_main","device_tracker","unknown","Kitchen Main","",""
"sensor.kitchen_main_audio_mode","sensor","unknown","Kitchen Main Audio mode","enum",""
"sensor.kitchen_main_volume_level_music","sensor","unknown","Kitchen Main Volume level music","",""
"sensor.kitchen_main_battery_level","sensor","61","Kitchen Main Battery level","battery","%"
"sensor.kitchen_main_battery_state","sensor","discharging","Kitchen Main Battery state","enum",""
"sensor.kitchen_main_charger_type","sensor","none","Kitchen Main Charger type","enum",""
"sensor.kitchen_main_bluetooth_connection","sensor","unknown","Kitchen Main Bluetooth connection","","connection(s)"
"sensor.kitchen_main_ble_transmitter","sensor","unknown","Kitchen Main BLE transmitter","enum",""
"sensor.kitchen_main_beacon_monitor","sensor","Bluetooth is turned off","Kitchen Main Beacon monitor","enum",""
"sensor.kitchen_main_internal_storage","sensor","unknown","Kitchen Main Internal storage","","%"
"sensor.kitchen_main_external_storage","sensor","unknown","Kitchen Main External storage","","%"
"binary_sensor.pauls_ipad_focus","binary_sensor","off","Paul’s iPad Focus","",""
"device_tracker.pauls_ipad","device_tracker","home","Paul’s iPad","",""
"sensor.pauls_ipad_battery_level","sensor","20","Paul’s iPad Battery Level","battery","%"
"sensor.pauls_ipad_geocoded_location","sensor","2739 Davis Mill Rd
Augusta GA 30815
United States","Paul’s iPad Geocoded Location","",""
"sensor.pauls_ipad_battery_state","sensor","Charging","Paul’s iPad Battery State","",""
"sensor.pauls_ipad_bssid","sensor","72:13:1:e8:1a:22","Paul’s iPad BSSID","",""
"sensor.pauls_ipad_storage","sensor","27.39","Paul’s iPad Storage","","% available"
"sensor.pauls_ipad_ssid","sensor","sowu","Paul’s iPad SSID","",""
"sensor.pauls_ipad_connection_type","sensor","Wi-Fi","Paul’s iPad Connection Type","",""
"sensor.pauls_ipad_app_version","sensor","2025.10.0","Paul’s iPad App Version","",""
"sensor.pauls_ipad_last_update_trigger","sensor","Periodic","Paul’s iPad Last Update Trigger","",""
"sensor.pauls_ipad_location_permission","sensor","Authorized Always","Paul’s iPad Location permission","",""
"sensor.pauls_ipad_audio_output","sensor","Built-in Speaker","Paul’s iPad Audio Output","",""
"sensor.pauls_ipad_activity","sensor","Stationary","Paul’s iPad Activity","",""
"device_tracker.great_room_tv","device_tracker","unknown","Great Room TV","",""
"device_tracker.mb_fire_tv","device_tracker","unknown","mb fire tv","",""
"binary_sensor.paul_s_phone_mic_muted","binary_sensor","off","Paul's Phone Mic muted","",""
"binary_sensor.paul_s_phone_high_accuracy_mode","binary_sensor","unknown","Paul's Phone High accuracy mode","",""
"device_tracker.dad_s_phone","device_tracker","Loblolly","Paul's Phone","",""
"sensor.paul_s_phone_battery_level","sensor","79","Paul's Phone Battery level","battery","%"
"sensor.paul_s_phone_battery_state","sensor","not_charging","Paul's Phone Battery state","enum",""
"sensor.paul_s_phone_charger_type","sensor","ac","Paul's Phone Charger type","enum",""
"device_tracker.ts","device_tracker","Loblolly","Tuellas Samsung","",""
"sensor.tuellas_samsung_battery_level","sensor","89","Tuellas Samsung Battery level","battery","%"
"sensor.tuellas_samsung_battery_state","sensor","discharging","Tuellas Samsung Battery state","enum",""
"sensor.tuellas_samsung_charger_type","sensor","none","Tuellas Samsung Charger type","enum",""
"weather.forecast_home","weather","rainy","Forecast Case De Sowu","",""
"climate.thermostat","climate","cool","THERMOSTAT","",""
"sensor.thermostat_temperature","sensor","72.0","THERMOSTAT Temperature","temperature","°F"
"media_player.living_room_tv_3","media_player","idle","Living Room TV","",""
"light.kitchen_light_switch","light","off","Kitchen light Switch","",""
"tts.google_translate_en_com","tts","2025-11-23T01:36:35.240957+00:00","Google Translate en com","",""
"sensor.ai_provider_status_google","sensor","connected","AI Provider Status (Google)","",""
"sensor.max_input_tokens_google","sensor","500","Max Input Tokens (Google)","","tokens"
"sensor.max_output_tokens_google","sensor","500","Max Output Tokens (Google)","","tokens"
"sensor.ai_model_in_use_google","sensor","gemini-2.0-flash","AI Model In Use (Google)","",""
"sensor.last_error_message_google","sensor","No Error","Last Error Message (Google)","",""
"camera.front_door_live_view_2","camera","idle","Front Door Live view","",""
